100003383325,联想(Lenovo)天逸510S 英特尔酷睿i3 个人商务台式机电脑整机(i3-9100 8G 1T WiFi  三年上门 Win10)21.5英寸,2799.00元,15万+,96%
100008610496,"京品电脑	
戴尔(DELL)成就3471 英特尔酷睿i3 高性能 商用办公 台式电脑整机(i3-9100 8G 1T 四年上门  WIFI)21.5英寸",2889.00元,8.1万+,95%
10265477083,狄派 Intel八核/8G独显/16G/吃鸡电竞台式机电脑主机/办公设计3D渲染吃鸡游戏组装电脑整机 主机+27英寸2K电竞显示器 套餐二（i7级八核/1650独显/双硬盘）,3899.00元,2.6万+,94%
1110809080,硕扬 intel十二线程强芯/GTX1050独显/16G内存/办公游戏台式电脑主机/DIY组装机,1768.00元,8.3万+,98%
100010816812,荣耀笔记本电脑MagicBook 14 14英寸全面屏轻薄本（AMD锐龙5 16G 512G 多屏协同 指纹Win10）银,3799.00元,20万+,93%
100011386554,联想(Lenovo)小新Air14性能版轻薄本 英特尔酷睿i5 全面屏学生独显笔记本电脑(i5 16G 512G MX350 高色域)银,5499.00元,19万+,93%
100013967772,惠普(HP)暗影精灵6 15.6英寸游戏笔记本电脑(i5-10300H 16G 512GSSD RTX2060 6G独显),7499.00元,15万+,94%
1381544225,硕扬 intel八核十六线程/GTX1050Ti独显32G内存游戏台式吃鸡电脑主机/DIY组装机,2268.00元,6.5万+,96%
100010879626,华为(HUAWEI) MateBook D 14英寸全面屏轻薄笔记本电脑便携超级快充(AMD锐龙5 3500U 16+512GB)银,4499.00元,8.8万+,94%
1238701404,武极 i5 9400F/10400/GTX1660-6G/B365 游戏台式吃鸡电脑主机DIY组装机,3699.00元,8.4万+,97%
100013273430,"京品电脑	
联想(Lenovo)天逸510Pro英特尔酷睿i5个人商务台式机电脑整机(十代i5-10400F 8G 1TB+256G SSD 2G独显)23英寸",4699.00元,8.7万+,98%
100012920628,"京品电脑	
戴尔(DELL)成就3681英特尔酷睿i3商用办公高性能台式电脑整机(十代i3-10100 8G 1T 三年上门售后)21.5英寸",2899.00元,8.1万+,95%
100007233381,联想ThinkPad E14 锐龙版（1TCD）14英寸轻薄笔记本电脑（锐龙5-4500U 16G 512GSSD IPS高分屏）黑色,3999.00元,2.9万+,94%
100007218425,联想(Lenovo)小新Air14 2020锐龙版轻薄本 全面屏办公笔记本电脑(6核R5-4600U 16G 512G 高色域)深空灰,4499.00元,25万+,93%
100004901643,"京品电脑	
戴尔(DELL)成就3471英特尔酷睿i5商用办公台式电脑整机(九代i5-9400 8G 1T 四年上门 键鼠 WIFI)21.5英寸",3689.00元,8.1万+,95%
100005989774,联想(Lenovo)扬天M5200d商用办公台式电脑整机(AMD A6-9500 4G 500G 键鼠 2019office 四年上门)19.5英寸,2099.00元,5.2万+,96%
100007062945,"京品电脑	
戴尔(DELL)成就3681英特尔酷睿i5商用办公高性能台式电脑整机(十代i5-10400 8G 256G 1T 三年上门)21.5英寸",4089.00元,8.1万+,95%
11930425331,航向者 intel八核十六线程/RX580独显/32G台式组装电脑主机DIY组装机吃鸡LOL游戏办公 电脑主机+显示器 套餐一(i5级四核+8G+办公集显),1099.00元,5.8万+,97%
100013263268,联想ThinkPad 翼14 Slim（22CD）英特尔酷睿i5 14英寸轻薄笔记本电脑(i5-10210U 16G 512GSSD 2G独显)银,5899.00元,2.9万+,93%
